poi_name,total_visits,total_source_markets,avg_sentiment,sentiment_std,first_date,last_date,poi_description,poi_category,poi_tags
Avenue Of Stars,318,32,0.73208993,0.234798338,2/20/2022 20:20,10/13/2025 0:14,TRUE,category,tags
Bakehouse (Wan Chai),513,26,0.715263255,0.216454415,2/21/2023 9:29,10/13/2025 17:51,TRUE,category,tags
Causeway Bay,448,32,0.551604202,0.245197061,2/20/2022 20:20,10/13/2025 17:03,TRUE,category,tags
Central,1001,42,0.523182777,0.24871982,4/1/2022 23:48,10/13/2025 18:26,TRUE,category,tags
Chungking Mansions,126,19,0.437219567,0.174083886,6/7/2023 21:49,10/13/2025 17:03,TRUE,category,tags
Citygate Outlets,108,15,0.494417839,0.261737936,4/11/2023 4:54,10/7/2025 20:07,TRUE,category,tags
Clock Tower,284,26,0.633470734,0.212931279,3/1/2023 17:14,10/11/2025 19:02,TRUE,category,tags
Disney's Hollywood Hotel,392,23,0.775158336,0.207737271,1/28/2023 1:47,10/13/2025 17:35,TRUE,category,tags
Hashtag B,102,13,0.731059357,0.216683098,4/2/2023 20:40,10/9/2025 22:10,TRUE,category,tags
Hong Kong Convention and Exhibition Centre,296,38,0.56817619,0.248185621,12/21/2022 21:20,10/13/2025 14:57,TRUE,category,tags
Hong Kong Cultural Centre,517,33,0.561033473,0.233711013,12/13/2022 2:05,10/13/2025 14:57,TRUE,category,tags
Hong Kong Disneyland,13038,86,0.85776435,0.175477472,9/25/2019 10:07,10/14/2025 1:00,TRUE,category,tags
Hong Kong International Airport,3511,59,0.460830111,0.276187218,1/11/2020 17:13,10/14/2025 7:56,TRUE,category,tags
Hong Kong Island,136,22,0.582869782,0.264949472,7/9/2022 18:37,10/10/2025 9:55,TRUE,category,tags
Hong Kong Observation Wheel,653,42,0.740911397,0.228719648,4/16/2021 12:24,10/13/2025 17:35,TRUE,category,tags
Hong Kong Park,243,29,0.689405559,0.19563323,12/13/2022 2:05,10/12/2025 14:08,TRUE,category,tags
Hong Kong Science Museum,166,19,0.496028149,0.225748211,9/4/2022 20:30,10/10/2025 19:14,TRUE,category,tags
Hong Kong Zoological and Botanical Gardens,114,20,0.602504634,0.173549026,4/23/2023 15:40,10/10/2025 9:02,TRUE,category,tags
Hong Kong-Zhuhai-Macao Bridge,292,28,0.575202665,0.265187461,5/4/2020 21:57,10/13/2025 8:36,TRUE,category,tags
K11 ARTMALL,121,18,0.565288189,0.256814809,3/7/2023 13:45,10/13/2025 11:07,TRUE,category,tags
K11 MUSEA,399,36,0.608663741,0.208545183,2/26/2023 0:20,10/13/2025 16:23,TRUE,category,tags
Kennedy Town,199,21,0.461790904,0.232887432,3/9/2023 10:54,10/13/2025 9:46,TRUE,category,tags
Kowloon,187,22,0.533712215,0.256310204,11/9/2022 23:42,10/13/2025 17:35,TRUE,category,tags
Lan Fong Yuen,159,23,0.591150398,0.21579599,2/12/2023 19:27,10/13/2025 17:51,TRUE,category,tags
Lan Kwai Fong,115,17,0.757128044,0.227391375,2/23/2023 1:29,10/13/2025 17:03,TRUE,category,tags
Lantau Island,1907,63,0.743467342,0.176166505,4/7/2022 22:02,10/13/2025 22:53,TRUE,category,tags
Madame Tussauds,161,23,0.741650297,0.21183765,2/26/2023 11:13,10/13/2025 17:10,TRUE,category,tags
Man Mo Temple,291,31,0.560187106,0.184980459,4/10/2023 17:48,10/14/2025 0:28,TRUE,category,tags
Mong Kok,480,33,0.572267813,0.264394609,7/11/2022 15:36,10/13/2025 17:03,TRUE,category,tags
Monster Building,119,25,0.409009424,0.265030516,2/15/2023 17:24,10/13/2025 17:03,TRUE,category,tags
Museum of Art,280,26,0.556957918,0.215176271,8/17/2022 17:08,10/13/2025 17:35,TRUE,category,tags
Nan Lian Garden,109,22,0.754322424,0.15303329,3/5/2023 3:34,10/5/2025 17:38,TRUE,category,tags
Nathan Rd,156,23,0.428719282,0.232022255,12/4/2022 6:24,10/13/2025 21:36,TRUE,category,tags
Ngong Ping,968,45,0.716320834,0.200345289,8/14/2020 0:20,10/13/2025 22:53,TRUE,category,tags
Ngong Ping 360,1131,46,0.735160646,0.215589664,6/5/2021 11:04,10/14/2025 0:28,TRUE,category,tags
Ngong Ping Village,597,37,0.658622623,0.207239967,2/20/2022 20:20,10/12/2025 16:16,TRUE,category,tags
North Point,101,18,0.497744473,0.258669981,3/24/2023 21:08,10/13/2025 1:17,TRUE,category,tags
