location,lng,lat
Victoria Peak,114.145532,22.2758835
Hong Kong Disneyland,114.0398808,22.3154124
Lion Rock,114.1870366,22.3522705
Lantau Peak,113.9175335,22.2449387
Tai O,113.8661195,22.2523195
Ngong Ping,113.9053189,22.2560986
Victoria Harbour,114.167710150583,22.3074457936953
1881 Heritage,114.1699524,22.2954731
Tai Mo Shan,114.1379499,22.4088464
Tai Po,114.165521,22.4423282
Kowloon Park,114.1707929,22.3003928
Avenue Of Stars,114.1760595,22.2944488
Ngong Ping Village,113.9029888,22.2561853
Causeway Bay,114.1914919,22.2859787
Repulse Bay,114.1952039,22.2345043
Jumbo kingdom,114.161657,22.2439486
Sky 100,114.1603497,22.3034464
Sham Shui Po,114.1602846,22.3285899
Central,114.1587983,22.2799907
Lantau Island,113.941751,22.2664984
Observation Wheel,114.1615851,22.2853075
Hollywood Rd,114.1505559,22.2839821
Wan Chai,114.1751471,22.276022
Times Square,114.1811395,22.2773384
Tin Hau Station,114.1917258,22.2824215
Po Lin Monastery,113.9078801,22.2554806
The Peak Galleria,114.1496575,22.2701512
Mong Kok Station,114.1692081,22.3194068
Lippo Centre,114.16335,22.279536
Tian Tan Buddha,113.904984,22.2539847
Hong Kong International Airport,113.9137283,22.3134736
Ocean Park,114.1721746,22.2346359
Giant Panda Adventure,114.1766509,22.2455794
Hong Kong Science Museum,114.177655,22.3010111
Yau Ma Tei,114.1714423,22.3068537
Tsz Shan Monastery,114.1655064,22.4423218
Lamma Island,114.1350173,22.2000056
Big Wave Bay Beach,114.247163,22.246575
Kowloon,114.1796057,22.3185673
SOGO,114.18363,22.28091
Hong Kong Palace Museum,114.1552727,22.3016783
ifc mall,114.158131,22.28588
Nathan Rd,114.1710157,22.3109155
Museum of Art,114.1721324,22.2936055
Hong Kong Cultural Centre,114.1703232,22.2938496
Harbour City,114.1670158,22.2949008
Hong Kong Park,114.16045,22.27767
Tsim Sha Tsui,114.1721746,22.2988123
Prince's Building,114.1592117,22.2811963
The Peninsula,114.1718537,22.2951024
Shanghai St,114.1692758,22.3135379
Brooklyn Bar and Grill,114.1526068,22.2822636
Tsing Yi Station,114.107672,22.3584978
Sunny Bay Station,114.028489,22.332852
Kwun Tong,114.2227035,22.3103686
The Peak Tram,114.1560549,22.2735527
Wellington St,114.1544719,22.2830956
Mak's Noodle,114.1546096,22.2830505
Tsing Ma Bridge,114.0733443,22.3511503
Adventureland,114.0418289,22.3112911
Sham Shui Po Government Primary School,114.1477494,22.3332735
Aberdeen,114.1524398,22.2483068
South Horizons,114.1476512,22.243373
Temple Street Night Market,114.1699805,22.3065185
LOUIS VUITTON,114.1690661,22.2962782
Pacific Place,114.1649087,22.2772459
The Peak Terminus,114.149604,22.270375
Hong Kong Trail,113.951154,22.293224
Pok Fu Lam Reservoir Rd,114.1428983,22.2667519
The Grand Buffet,114.1717929,22.2746422
Wesleyan House,114.175008,22.2742973
West Kowloon,114.1602846,22.3034757
Disney's Hollywood Hotel,114.037334,22.309187
Tai Tam,114.2106427,22.2567774
Hong Kong Convention and Exhibition Centre,114.1731385,22.2833754
Lei Yue Mun,114.237563701171,22.2847187849031
Hoi Ping Rd,114.1851576,22.2775808
Australia Dairy Company,114.1704601,22.3046026
Ching Kee,113.8633885,22.2549323
Mong Kok Night Market,114.1675284,22.3182096
The Hong Kong Polytechnic University,114.1795767,22.3045633
East Tsim Sha Tsui,114.174586,22.295263
Hong Kong Island,114.1910696,22.2587586
Ngong Ping 360,113.9014163,22.2563163
Mystic Manor,114.0409612,22.3099697
Toy Story Land,114.0396959,22.3103855
THE MATCHA TOKYO,114.1828394,22.2782176
Arte M,114.2075017,22.2915374
Monster Building,114.2123028,22.2842028
East Coast Park Precinct,114.1895168,22.2881124
iSQUARE,114.1718959,22.297025
North Pole Encounter,114.1719653,22.2351741
The Peak Tower,114.1499638,22.2712357
Kwun Yum Temple,113.8838019,22.2413178
Mong Kok,114.169773,22.3203648
Temple St,114.1700012,22.3116851
Lan Kwai Fong,114.1555456,22.2806973
Star Ferry Pier,114.1611671,22.2870737
Hong Kong Macau Ferry Terminal,114.1523423,22.2896835
