poi_name,date,source_market,visits,avg_sentiment,sentiment_std,positive_share,negative_share
Avenue Of Stars,2022-02-20,ID,1,0.5972945317626,,1.0,0.0
Avenue Of Stars,2023-03-13,PH,1,0.945962722102801,0.05044305571283855,1.0,0.0
Avenue Of Stars,2023-03-28,ID,1,0.8479935228824615,,1.0,0.0
Avenue Of Stars,2023-04-02,VN,2,0.4385348657766978,0.06894307822888039,0.0,1.0
Avenue Of Stars,2023-04-12,GB,1,0.4308822713792324,0.3670012329628493,0.5,0.5
Avenue Of Stars,2023-04-23,SG,1,0.8002594610055288,0.2387425183870417,1.0,0.0
Avenue Of Stars,2023-05-12,ID,1,0.9445367753505707,,1.0,0.0
Avenue Of Stars,2023-05-22,CA,1,0.6364752948284149,,1.0,0.0
Avenue Of Stars,2023-06-06,PH,1,0.6266111731529236,0.01285714901933929,1.0,0.0
Avenue Of Stars,2023-06-19,PH,1,0.9487275183200836,,1.0,0.0
Avenue Of Stars,2023-07-15,SG,1,0.9357547163963318,,1.0,0.0
Avenue Of Stars,2023-07-24,ID,1,0.8974920809268951,,1.0,0.0
Avenue Of Stars,2023-09-09,MY,1,0.6263079345226288,,1.0,0.0
Avenue Of Stars,2023-10-02,ID,1,0.728508452574412,0.025691852984270756,1.0,0.0
Avenue Of Stars,2023-10-21,PH,1,0.8911386430263519,,1.0,0.0
Avenue Of Stars,2023-10-27,US,1,0.8149823248386383,,1.0,0.0
Avenue Of Stars,2023-11-12,SG,1,0.6513101607561111,0.10219538126597201,1.0,0.0
Avenue Of Stars,2023-12-19,MY,1,0.5063009914010763,0.1941424941118706,0.5,0.5
Avenue Of Stars,2024-01-04,SG,1,0.515676312148571,,1.0,0.0
Avenue Of Stars,2024-01-20,ID,1,0.6839744448661804,0.15979602505953724,1.0,0.0
Avenue Of Stars,2024-02-02,PH,1,0.7823415994644165,,1.0,0.0
Avenue Of Stars,2024-02-05,PH,1,0.8833567202091217,0.062349980571506404,1.0,0.0
Avenue Of Stars,2024-03-11,PH,1,0.142907053232193,,0.0,1.0
Avenue Of Stars,2024-03-20,AU,1,0.8552096784114838,0.0820983098297041,1.0,0.0
Avenue Of Stars,2024-04-09,ID,1,0.5656919479370117,0.10521960730744695,0.5,0.5
Avenue Of Stars,2024-04-18,VN,1,0.7370782308280468,0.23747189241677358,1.0,0.0
Avenue Of Stars,2024-04-24,PH,1,0.45511189103126526,0.12399285146701174,0.3333333333333333,0.6666666666666666
Avenue Of Stars,2024-04-26,ID,1,0.8811273276805878,,1.0,0.0
Avenue Of Stars,2024-04-28,NL,1,0.7740520052611828,0.2582303111264502,1.0,0.0
Avenue Of Stars,2024-05-01,PH,1,0.6403798460960388,0.1643300565817937,1.0,0.0
Avenue Of Stars,2024-05-11,PH,1,0.5431183874607086,,1.0,0.0
Avenue Of Stars,2024-05-27,SG,1,0.7198604643344879,0.10618202091411938,1.0,0.0
Avenue Of Stars,2024-06-02,ID,1,0.5081072999164462,0.08581549778867381,0.5,0.5
Avenue Of Stars,2024-06-05,CA,1,0.5984529753526052,0.25257890349960405,0.6666666666666666,0.3333333333333333
Avenue Of Stars,2024-07-14,PH,1,0.8214862942695618,0.09333527400227742,1.0,0.0
Avenue Of Stars,2024-07-17,AU,1,0.9418361485004425,,1.0,0.0
Avenue Of Stars,2024-07-19,TH,1,0.8779118359088898,,1.0,0.0
Avenue Of Stars,2024-07-29,ID,1,0.9630111157894135,,1.0,0.0
Avenue Of Stars,2024-07-30,PH,1,0.6019289121031761,,1.0,0.0
Avenue Of Stars,2024-08-01,JP,1,0.9135750234127045,0.027576770903691712,1.0,0.0
Avenue Of Stars,2024-08-02,PL,1,0.5997964069247246,,1.0,0.0
Avenue Of Stars,2024-08-03,TH,2,0.8913340270519257,0.11892116966796717,1.0,0.0
Avenue Of Stars,2024-08-04,ID,1,0.9696719646453857,,1.0,0.0
Avenue Of Stars,2024-08-04,PH,1,0.765838086605072,0.2146113311489873,1.0,0.0
Avenue Of Stars,2024-08-04,US,2,0.8430418281844168,0.18983638365397726,0.9696969696969697,0.030303030303030304
Avenue Of Stars,2024-08-04,VN,1,0.5437238216400146,,1.0,0.0
Avenue Of Stars,2024-08-05,NL,1,0.7187818288803101,,1.0,0.0
Avenue Of Stars,2024-08-05,TH,1,0.9207880347967148,0.0037202812446323606,1.0,0.0
Avenue Of Stars,2024-08-06,GB,1,0.48111745715141296,,0.0,1.0
