poi_name,related_poi_name,count,unique_journeys,type,rank,share
Avenue Of Stars,Victoria Harbour,30,28,from,1,0.14925373134328357
Avenue Of Stars,K11 MUSEA,16,16,from,2,0.07960199004975124
Avenue Of Stars,Hong Kong Disneyland,13,13,from,3,0.06467661691542288
Avenue Of Stars,Tsim Sha Tsui,13,13,from,4,0.06467661691542288
Avenue Of Stars,Victoria Peak,13,13,from,5,0.06467661691542288
Avenue Of Stars,Victoria Harbour,57,55,to,1,0.2676056338028169
Avenue Of Stars,Hong Kong Disneyland,21,21,to,2,0.09859154929577464
Avenue Of Stars,K11 MUSEA,16,16,to,3,0.07511737089201878
Avenue Of Stars,Clock Tower,8,8,to,4,0.03755868544600939
Avenue Of Stars,The Peak Tram,8,8,to,5,0.03755868544600939
Bakehouse (Wan Chai),Hong Kong Disneyland,35,31,from,1,0.10057471264367816
Bakehouse (Wan Chai),Hong Kong International Airport,18,18,from,2,0.05172413793103448
Bakehouse (Wan Chai),Tsim Sha Tsui,16,16,from,3,0.04597701149425287
Bakehouse (Wan Chai),Hashtag B,14,14,from,4,0.040229885057471264
Bakehouse (Wan Chai),Victoria Harbour,14,14,from,5,0.040229885057471264
Bakehouse (Wan Chai),Hong Kong Disneyland,40,36,to,1,0.12269938650306748
Bakehouse (Wan Chai),Hong Kong International Airport,23,23,to,2,0.0705521472392638
Bakehouse (Wan Chai),Central,13,13,to,3,0.03987730061349693
Bakehouse (Wan Chai),Vission Bakery,13,13,to,4,0.03987730061349693
Bakehouse (Wan Chai),Hashtag B,10,10,to,5,0.03067484662576687
Causeway Bay,Hong Kong Disneyland,27,26,from,1,0.0967741935483871
Causeway Bay,Hong Kong International Airport,22,21,from,2,0.07885304659498207
Causeway Bay,Central,16,16,from,3,0.05734767025089606
Causeway Bay,Tsim Sha Tsui,15,13,from,4,0.053763440860215055
Causeway Bay,Bakehouse (Wan Chai),8,8,from,5,0.02867383512544803
Causeway Bay,Hong Kong Disneyland,20,20,to,1,0.07017543859649122
Causeway Bay,Tsim Sha Tsui,18,16,to,2,0.06315789473684211
Causeway Bay,Central,17,17,to,3,0.05964912280701754
Causeway Bay,Victoria Harbour,14,14,to,4,0.04912280701754386
Causeway Bay,Bakehouse (Wan Chai),11,10,to,5,0.03859649122807018
Central,Hong Kong Disneyland,58,57,from,1,0.0777479892761394
Central,Hong Kong International Airport,50,49,from,2,0.06702412868632708
Central,Victoria Harbour,40,39,from,3,0.05361930294906166
Central,Victoria Peak,28,27,from,4,0.03753351206434316
Central,Tai Kwun,23,23,from,5,0.030831099195710455
Central,Hong Kong Disneyland,51,51,to,1,0.06572164948453608
Central,Hong Kong Observation Wheel,39,39,to,2,0.05025773195876289
Central,Victoria Harbour,39,38,to,3,0.05025773195876289
Central,Hong Kong International Airport,35,35,to,4,0.045103092783505154
Central,Tsim Sha Tsui,29,29,to,5,0.037371134020618556
