id,trajectory
6740423878578801922,"['Victoria Peak', 'Hong Kong Disneyland']"
6834816477409905921,"['Lion Rock', 'Victoria Peak', 'Lantau Peak']"
6860504268621892869,"['Tai O', 'Hong Kong Disneyland', 'Victoria Peak', 'Ngong Ping']"
6966281156056648962,"['Victoria Harbour', '1881 Heritage']"
6994191140689923334,"['Victoria Peak', 'Tai O']"
7056984801059900674,"['Tai Mo Shan', 'Victoria Peak', 'Tai Po']"
7066765810336861466,"['Kowloon Park', 'Victoria Harbour', 'Avenue Of Stars', 'Ngong Ping Village', 'Causeway Bay']"
7078925331473698074,"['Repulse Bay', 'Jumbo kingdom', 'Sky 100', 'Hong Kong Disneyland']"
7081662866415226158,"['Sham Shui Po', 'Central']"
7083862066120903963,"['Ngong Ping', 'Lantau Island']"
7109444461599427841,"['Observation Wheel', 'Hollywood Rd', 'Wan Chai', 'Times Square']"
7111724310988885274,"['Tai Po', 'Victoria Harbour', 'Tin Hau Station', 'Po Lin Monastery', 'Lantau Island', 'Victoria Peak', 'The Peak Galleria', 'Mong Kok Station']"
7118919776008768795,"['Hong Kong Disneyland', 'Lippo Centre']"
7123102965388348673,"['Lantau Island', 'Tian Tan Buddha', 'Ngong Ping Village', 'Po Lin Monastery', 'Tai Mo Shan']"
7133232202493529345,"['Central', 'Victoria Harbour', 'Hong Kong International Airport']"
7136607674308857089,"['Ngong Ping', 'Tian Tan Buddha']"
7139500908546755841,"['Ocean Park', 'Hong Kong Disneyland', 'Giant Panda Adventure', 'Ngong Ping', 'Hong Kong Science Museum']"
7144607576368368923,"['Tai O', 'Yau Ma Tei']"
7164042184121994502,"['Victoria Peak', 'Tian Tan Buddha', 'Ngong Ping', 'Tai Po', 'Tsz Shan Monastery', 'Lamma Island', 'Big Wave Bay Beach', 'Kowloon']"
7166241065354169605,"['Tai O', 'SOGO', 'Victoria Harbour']"
7168866187571449114,"['Victoria Harbour', 'Hong Kong Palace Museum', 'ifc mall']"
7171104078481706245,"['Victoria Harbour', 'Lantau Island', 'Victoria Peak']"
7173051709407644954,"['Nathan Rd', 'Hong Kong International Airport']"
7176324837433019675,"['Victoria Harbour', 'Museum of Art', 'Victoria Peak', 'Hong Kong Cultural Centre', 'Harbour City', 'Hong Kong Park', 'Tsim Sha Tsui', ""Prince's Building"", 'The Peninsula']"
7176946225860627738,"['Shanghai St', 'Hong Kong Disneyland', 'Brooklyn Bar and Grill', 'Central', 'Lantau Island']"
7182842988295408897,"['Hong Kong Disneyland', 'Hong Kong International Airport', 'Tsing Yi Station', 'Sunny Bay Station']"
